age,workclass,education,marital-status,race,sex,hours-per-week,income
27,Private,9,Single,White,Male,40,<=50K
40,Private,12,Married,White,Male,40,<=50K
18,Private,7,Single,White,Female,22,<=50K
31,Public,4,Married,White,Male,40,<=50K
38,Private,9,Single,White,Male,30,<=50K
52,Private,13,Married,White,Male,40,<=50K
46,Private,9,Married,White,Female,40,<=50K
59,Private,9,Married,White,Male,48,<=50K
44,Private,9,Single,White,Female,40,>50K
53,Private,9,Single,White,Female,35,<=50K
49,Public,9,Married,White,Male,40,>50K
33,Private,14,Married,White,Male,50,<=50K
30,Private,5,Single,White,Male,40,<=50K
38,Public,16,Single,White,Female,50,>50K
57,Private,11,Married,White,Male,40,<=50K
37,Private,10,Single,White,Female,40,<=50K
28,Private,10,Single,Black,Female,25,<=50K
30,Private,9,Married,Asian,Female,35,<=50K
34,Public,13,Married,White,Male,40,>50K
38,Public,10,Single,White,Male,50,<=50K
48,Self-emp,16,Married,White,Male,60,>50K
37,Private,10,Married,White,Male,48,>50K
48,Private,12,Single,White,Female,40,<=50K
32,Public,9,Single,Black,Male,40,<=50K
76,Private,14,Married,White,Male,40,>50K
44,Private,13,Married,White,Male,60,>50K
47,Self-emp,14,Single,White,Female,50,<=50K
20,Private,10,Single,White,Female,40,<=50K
29,Private,9,Single,White,Male,40,<=50K
32,Self-emp,9,Married,White,Male,40,>50K
30,Private,7,Single,White,Male,40,<=50K
31,Public,9,Single,White,Female,40,<=50K
42,Private,9,Married,White,Male,40,<=50K
24,Private,13,Single,White,Male,40,<=50K
38,Private,15,Married,White,Male,40,>50K
56,Self-emp,9,Married,White,Male,50,>50K
38,Private,10,Married,White,Female,25,<=50K
36,Private,9,Single,White,Female,40,<=50K
53,Private,5,Married,White,Male,50,<=50K
56,Self-emp,10,Married,White,Male,50,<=50K
49,Public,11,Married,Black,Male,40,>50K
55,Private,10,Married,White,Male,56,<=50K
22,Private,9,Single,White,Male,41,<=50K
21,Private,10,Single,White,Female,40,<=50K
40,Private,13,Married,White,Male,60,<=50K
30,Private,13,Single,Black,Male,40,<=50K
29,Public,13,Married,White,Male,50,>50K
19,Private,10,Single,Black,Male,35,<=50K
47,Private,13,Married,White,Female,40,>50K
20,Private,10,Single,White,Female,28,<=50K
31,Private,12,Married,White,Male,40,>50K
39,Private,10,Single,White,Male,40,<=50K
28,Private,12,Single,White,Female,60,<=50K
24,Private,9,Single,White,Female,40,<=50K
38,Self-emp,9,Married,White,Male,35,<=50K
37,Private,13,Married,White,Male,50,<=50K
46,Private,12,Single,Black,Female,36,<=50K
38,Public,14,Married,White,Male,40,>50K
43,Self-emp,9,Married,White,Male,60,<=50K
27,Private,11,Married,White,Female,35,<=50K
20,Private,10,Single,White,Male,20,<=50K
49,Private,10,Married,Asian,Male,40,>50K
61,Self-emp,9,Married,White,Male,40,<=50K
27,Private,10,Single,White,Female,40,<=50K
19,Private,10,Single,White,Male,30,<=50K
45,Private,11,Single,White,Female,40,>50K
70,Private,10,Single,White,Male,40,<=50K
31,Private,9,Single,Black,Female,30,<=50K
22,Private,10,Married,White,Male,24,<=50K
38,Private,9,Married,White,Female,24,<=50K
64,Private,7,Married,White,Male,40,<=50K
47,Public,10,Single,White,Female,38,<=50K
34,Private,9,Single,White,Female,40,<=50K
33,Private,13,Single,Asian,Female,40,<=50K
21,Private,9,Single,White,Male,35,<=50K
48,Private,9,Married,White,Male,46,<=50K
23,Private,13,Single,White,Male,40,<=50K
71,Self-emp,10,Single,Black,Male,2,<=50K
29,Private,9,Single,White,Male,60,<=50K
38,Private,13,Single,Black,Male,50,<=50K
25,Private,9,Single,White,Female,40,<=50K
44,Self-emp,14,Single,Asian,Female,40,<=50K
28,Private,9,Single,Asian,Female,40,<=50K
45,Self-emp,14,Married,White,Male,40,>50K
36,Private,10,Single,White,Female,40,<=50K
39,Public,12,Single,White,Male,42,<=50K
46,Public,14,Married,White,Male,40,<=50K
18,Private,7,Single,White,Male,16,<=50K
66,Public,11,Married,White,Female,20,<=50K
27,Private,9,Single,White,Male,40,<=50K
28,Public,9,Married,White,Male,40,<=50K
51,Private,10,Married,White,Male,40,>50K
27,Private,13,Single,White,Male,50,<=50K
28,Public,13,Married,White,Male,40,>50K
27,Private,9,Married,White,Female,25,<=50K
21,Private,9,Single,Black,Male,40,<=50K
34,Private,9,Single,Black,Male,40,<=50K
18,Private,9,Single,White,Male,12,<=50K
33,Private,13,Married,White,Male,65,<=50K
38,Public,10,Married,Black,Male,38,>50K
43,Private,10,Single,White,Female,40,<=50K
30,Private,10,Single,Black,Male,45,<=50K
40,Private,4,Married,White,Male,40,>50K
37,Public,10,Married,White,Male,42,>50K
34,Private,9,Married,Black,Male,40,<=50K
41,Self-emp,13,Single,White,Female,40,<=50K
31,Private,14,Married,White,Female,50,<=50K
58,Public,16,Married,White,Male,1,>50K
38,Private,10,Single,Black,Female,28,<=50K
24,Private,10,Married,White,Male,40,<=50K
38,Public,13,Married,Black,Male,40,<=50K
47,Private,10,Married,White,Male,45,<=50K
41,Public,13,Married,White,Male,24,<=50K
23,Private,3,Married,White,Male,40,<=50K
36,Private,10,Single,White,Male,40,<=50K
40,Public,14,Single,White,Female,55,>50K
35,Private,14,Married,White,Male,40,>50K
24,Self-emp,9,Single,White,Male,40,<=50K
26,Private,14,Single,White,Female,40,<=50K
51,Private,13,Married,White,Male,50,>50K
42,Public,10,Single,White,Female,40,<=50K
37,Public,9,Single,White,Female,35,<=50K
18,Private,7,Single,White,Female,40,<=50K
36,Private,13,Married,Black,Male,36,>50K
35,Private,9,Single,White,Male,60,<=50K
58,Self-emp,9,Married,White,Female,35,>50K
17,Private,7,Single,White,Female,12,<=50K
38,Public,9,Married,Black,Male,40,<=50K
37,Private,9,Married,White,Male,40,>50K
35,Private,10,Single,Amer-Indian,Female,40,<=50K
60,Private,9,Married,Asian,Male,40,<=50K
54,Self-emp,4,Married,White,Male,40,>50K
37,Private,13,Single,Black,Male,60,>50K
50,Private,12,Single,White,Female,40,<=50K
38,Private,13,Married,White,Male,50,<=50K
45,Private,13,Married,White,Male,55,<=50K
25,Private,6,Single,White,Male,40,<=50K
31,Private,10,Married,White,Male,40,<=50K
90,Private,9,Single,Black,Male,40,<=50K
54,Private,9,Married,Black,Male,20,<=50K
53,Public,1,Single,White,Female,35,<=50K
18,Private,9,Single,White,Female,40,<=50K
66,Self-emp,9,Married,White,Male,50,<=50K
75,Private,11,Married,White,Female,20,<=50K
65,Private,9,Single,White,Female,40,<=50K
35,Private,7,Single,Black,Male,40,<=50K
41,Private,9,Single,Black,Female,38,<=50K
25,Private,10,Single,White,Male,42,<=50K
33,Private,10,Single,Hispanic,Female,40,<=50K
38,Private,15,Single,White,Male,55,>50K
59,Public,9,Married,White,Male,40,<=50K
40,Public,10,Single,White,Female,38,<=50K
41,Private,13,Married,White,Male,50,>50K
38,Public,14,Married,White,Male,70,>50K
23,Private,9,Single,White,Male,40,<=50K
40,Private,13,Married,White,Male,40,>50K
41,Self-emp,9,Married,White,Female,20,<=50K
24,Public,12,Married,White,Male,50,<=50K
38,Private,10,Single,White,Male,40,<=50K
56,Private,9,Married,White,Male,35,<=50K
58,Private,9,Married,White,Male,45,>50K
32,Private,9,Single,White,Female,34,<=50K
40,Private,12,Married,White,Male,60,>50K
45,Private,9,Married,White,Male,40,<=50K
41,Private,15,Married,White,Female,40,>50K
42,Private,13,Married,Black,Female,40,<=50K
59,Public,6,Married,Black,Female,30,<=50K
19,Public,10,Single,White,Male,40,<=50K
58,Private,10,Single,White,Male,20,<=50K
38,Self-emp,9,Married,Asian,Male,40,>50K
20,Private,9,Single,White,Female,40,<=50K
32,Private,9,Single,White,Female,30,<=50K
45,Private,11,Married,White,Female,45,<=50K
50,Private,4,Single,White,Male,40,<=50K
36,Private,13,Single,White,Female,40,<=50K
45,Private,9,Married,White,Male,60,<=50K
17,Private,7,Single,White,Male,12,<=50K
59,Private,10,Married,White,Male,40,<=50K
26,Private,7,Married,White,Male,40,<=50K
37,Self-emp,10,Married,Asian,Male,75,>50K
64,Private,9,Married,White,Male,40,>50K
33,Private,13,Single,White,Female,45,<=50K
33,Private,9,Married,White,Female,40,>50K
61,Private,9,Married,White,Male,40,>50K
17,Private,5,Single,White,Male,24,<=50K
50,Self-emp,14,Married,White,Male,98,<=50K
38,Public,14,Single,White,Male,35,<=50K
30,Private,9,Single,White,Female,40,<=50K
43,Private,9,Married,Black,Male,40,<=50K
44,Private,10,Married,White,Male,40,>50K
35,Private,10,Single,White,Female,40,<=50K
25,Private,10,Single,White,Female,40,<=50K
24,Private,10,Married,White,Female,48,>50K
22,Private,13,Single,White,Female,15,<=50K
42,Public,10,Married,White,Male,40,>50K
34,Private,12,Single,Black,Female,45,<=50K
60,Private,13,Single,White,Female,42,<=50K
21,Private,9,Single,White,Male,40,<=50K
57,Public,14,Married,White,Male,40,>50K
41,Private,15,Married,White,Male,60,>50K
50,Private,10,Single,White,Male,45,<=50K
25,Private,13,Single,White,Female,40,<=50K
50,Private,4,Married,White,Male,40,<=50K
36,Private,13,Married,White,Male,45,<=50K
31,Private,9,Single,White,Female,40,<=50K
29,Public,13,Single,White,Male,56,<=50K
21,Private,10,Single,White,Male,45,<=50K
38,Private,13,Single,Black,Female,40,<=50K
65,Private,9,Married,White,Male,16,<=50K
37,Self-emp,13,Single,White,Female,60,<=50K
24,Private,9,Single,White,Male,40,<=50K
38,Private,9,Single,White,Male,80,<=50K
38,Private,13,Married,White,Male,40,>50K
38,Private,10,Single,Asian,Female,25,<=50K
31,Private,9,Married,White,Male,45,>50K
55,Private,9,Married,White,Male,40,>50K
24,Private,10,Married,Asian,Female,40,<=50K
43,Private,9,Single,White,Female,40,<=50K
26,Private,12,Single,White,Male,45,<=50K
46,Private,12,Single,White,Female,33,<=50K
35,Private,12,Married,White,Male,40,>50K
41,Self-emp,10,Married,White,Male,54,>50K
26,Private,13,Single,White,Male,40,<=50K
34,Private,14,Married,Asian,Male,35,>50K
36,Self-emp,13,Single,Black,Female,40,>50K
22,Private,10,Single,White,Male,15,<=50K
24,Private,10,Single,White,Male,40,<=50K
77,Self-emp,10,Married,White,Male,40,<=50K
22,Private,3,Married,White,Female,40,<=50K
29,Private,10,Single,White,Female,40,<=50K
38,Private,9,Married,White,Female,24,<=50K
39,Self-emp,9,Married,White,Male,40,<=50K
43,Private,10,Married,White,Male,50,<=50K
35,Private,9,Single,White,Male,45,<=50K
29,Private,7,Single,White,Female,40,<=50K
76,Self-emp,14,Married,White,Male,10,<=50K
63,Self-emp,9,Married,White,Male,45,<=50K
43,Private,10,Married,White,Female,50,>50K
58,Self-emp,9,Married,White,Male,40,<=50K
66,Private,9,Single,White,Male,55,<=50K
41,Private,10,Single,Black,Male,45,<=50K
26,Private,13,Single,White,Male,40,<=50K
47,Private,11,Single,White,Male,40,<=50K
55,Public,6,Married,White,Male,40,<=50K
53,Private,9,Married,White,Male,40,<=50K
17,Private,3,Single,White,Male,48,<=50K
30,Private,9,Single,White,Male,40,<=50K
49,Private,14,Single,White,Male,60,<=50K
19,Private,9,Single,Black,Male,30,<=50K
45,Private,9,Married,Black,Male,40,<=50K
26,Private,12,Single,White,Male,40,<=50K
38,Private,11,Married,White,Male,40,>50K
36,Public,9,Married,White,Male,40,>50K
33,Private,9,Single,White,Male,20,<=50K
22,Public,10,Single,Black,Female,40,<=50K
43,Self-emp,13,Single,White,Male,42,<=50K
56,Private,12,Married,White,Male,25,<=50K
31,Private,13,Single,White,Male,25,<=50K
33,Private,13,Married,White,Male,40,>50K
26,Private,9,Married,White,Male,40,<=50K
33,Private,13,Married,White,Male,40,>50K
46,Public,7,Married,White,Male,30,<=50K
38,Public,9,Married,White,Male,40,>50K
65,Private,7,Married,Hispanic,Male,40,<=50K
40,Private,11,Married,White,Male,40,>50K
42,Private,9,Married,White,Female,35,<=50K
26,Self-emp,5,Married,White,Male,40,<=50K
36,Private,6,Married,White,Female,24,<=50K
62,Private,14,Married,White,Male,40,>50K
43,Private,13,Married,White,Male,45,<=50K
43,Private,13,Single,White,Male,45,>50K
22,Private,9,Married,White,Male,55,<=50K
28,Private,9,Married,White,Male,40,<=50K
56,Self-emp,10,Married,White,Male,45,<=50K
22,Private,12,Single,White,Female,15,<=50K
57,Private,13,Single,White,Female,45,>50K
39,Private,9,Single,White,Female,40,<=50K
26,Public,10,Single,White,Female,15,<=50K
17,Private,7,Single,White,Male,10,<=50K
40,Public,11,Married,White,Male,38,>50K
45,Private,9,Married,Black,Male,40,<=50K
44,Private,9,Single,Black,Male,40,<=50K
20,Public,10,Single,White,Female,10,<=50K
33,Private,9,Married,White,Female,40,<=50K
23,Private,10,Single,White,Male,40,<=50K
46,Self-emp,14,Single,White,Male,30,<=50K
38,Private,9,Married,White,Male,50,<=50K
54,Private,9,Single,White,Male,40,<=50K
46,Private,3,Single,White,Female,45,<=50K
25,Private,10,Married,White,Male,40,<=50K
46,Private,10,Single,White,Female,40,<=50K
36,Public,10,Married,White,Female,40,<=50K
23,Private,9,Single,White,Female,25,<=50K
29,Private,9,Single,White,Male,40,<=50K
44,Private,10,Married,White,Female,6,>50K
19,Private,10,Single,White,Female,16,<=50K
19,Private,9,Single,White,Female,40,<=50K
35,Private,9,Married,White,Female,40,>50K
27,Private,13,Single,White,Male,50,<=50K
46,Self-emp,12,Single,White,Male,40,<=50K
34,Public,13,Married,White,Male,45,>50K
34,Private,9,Single,White,Female,35,<=50K
44,Private,10,Married,White,Male,40,<=50K
45,Private,10,Single,White,Female,40,<=50K
25,Private,13,Married,White,Male,55,>50K
52,Self-emp,13,Married,White,Male,50,>50K
20,Private,10,Single,White,Male,40,<=50K
28,Private,10,Single,White,Female,40,<=50K
50,Public,13,Married,White,Male,40,>50K
34,Private,11,Single,White,Female,64,<=50K
28,Private,4,Married,Hispanic,Male,40,<=50K
41,Private,14,Married,White,Male,65,>50K
28,Private,9,Married,White,Male,40,<=50K
46,Self-emp,9,Married,White,Male,25,<=50K
32,Private,10,Married,White,Male,50,<=50K
41,Public,10,Single,Black,Female,24,<=50K
24,Private,9,Single,Black,Female,40,<=50K
33,Private,10,Single,White,Female,40,<=50K
46,Private,16,Married,White,Male,60,>50K
31,Public,10,Married,White,Male,40,<=50K
35,Private,8,Single,White,Male,50,>50K
52,Private,2,Married,White,Male,40,<=50K
30,Private,7,Single,White,Female,19,<=50K
34,Public,7,Single,Black,Male,40,<=50K
34,Public,9,Single,White,Female,40,<=50K
20,Private,10,Married,White,Male,30,<=50K
17,Private,7,Single,White,Male,18,<=50K
32,Public,13,Married,White,Female,40,>50K
29,Private,9,Single,White,Male,40,<=50K
33,Private,6,Single,White,Female,35,<=50K
25,Private,9,Married,White,Male,60,<=50K
36,Public,14,Single,White,Male,40,<=50K
23,Private,9,Single,White,Male,72,<=50K
63,Self-emp,9,Married,White,Male,40,>50K
47,Public,14,Married,White,Male,40,<=50K
40,Self-emp,13,Married,White,Female,40,<=50K
30,Private,12,Married,White,Female,25,>50K
27,Private,10,Single,Asian,Male,40,<=50K
33,Private,14,Married,White,Male,50,>50K
34,Public,9,Single,Black,Male,60,<=50K
34,Public,10,Single,White,Female,40,<=50K
23,Private,10,Married,White,Male,40,<=50K
42,Public,10,Married,White,Female,40,<=50K
29,Private,13,Single,White,Male,40,<=50K
45,Private,9,Single,White,Female,28,<=50K
24,Public,9,Single,White,Male,40,<=50K
44,Private,10,Married,White,Male,40,>50K
27,Private,5,Single,White,Male,40,<=50K
20,Private,10,Single,White,Male,35,<=50K
44,Private,9,Married,Black,Female,40,<=50K
51,Private,9,Married,Amer-Indian,Male,40,<=50K
20,Private,9,Married,White,Male,40,<=50K
19,Private,9,Single,Black,Female,40,<=50K
45,Self-emp,10,Married,White,Male,55,>50K
60,Private,9,Married,White,Male,40,>50K
42,Private,12,Married,Black,Male,40,>50K
44,Self-emp,9,Married,White,Female,40,>50K
40,Private,11,Married,Asian,Male,40,>50K
30,Private,9,Married,White,Female,40,<=50K
38,Private,10,Married,Black,Male,50,<=50K
23,Private,9,Married,White,Male,60,<=50K
44,Private,12,Single,White,Male,40,<=50K
54,Public,9,Married,Black,Male,40,<=50K
32,Private,13,Married,White,Male,50,<=50K
50,Private,2,Married,White,Male,40,<=50K
24,Private,13,Single,White,Female,20,<=50K
37,Private,9,Married,White,Female,60,<=50K
52,Private,9,Single,White,Male,40,<=50K
38,Private,10,Married,White,Male,40,<=50K
49,Private,14,Married,White,Male,45,>50K
30,Private,13,Married,White,Female,16,>50K
60,Private,10,Single,White,Male,40,>50K
35,Private,9,Single,White,Male,40,<=50K
30,Private,9,Single,White,Male,60,<=50K
67,Private,11,Single,White,Female,24,<=50K
46,Private,13,Single,White,Female,40,<=50K
17,Private,5,Single,White,Male,6,<=50K
22,Private,10,Single,White,Male,30,<=50K
27,Private,6,Single,White,Male,40,<=50K
23,Private,9,Single,White,Female,35,<=50K
33,Private,12,Married,White,Male,45,<=50K
43,Self-emp,10,Married,White,Male,20,<=50K
28,Public,13,Single,White,Male,20,<=50K
41,Private,9,Married,White,Female,40,<=50K
25,Private,10,Married,Black,Female,20,<=50K
59,Public,9,Married,White,Male,45,<=50K
45,Public,13,Single,White,Female,40,<=50K
38,Private,13,Married,White,Male,60,>50K
40,Private,9,Single,White,Female,35,<=50K
46,Public,9,Single,White,Male,40,<=50K
35,Private,12,Single,White,Female,60,<=50K
34,Private,9,Single,White,Female,25,<=50K
33,Private,13,Single,White,Male,20,<=50K
41,Private,9,Single,White,Female,36,<=50K
20,Private,10,Single,White,Male,40,<=50K
23,Private,3,Single,White,Male,40,<=50K
26,Private,10,Single,White,Female,35,<=50K
23,Public,9,Single,White,Male,40,<=50K
62,Public,9,Married,White,Male,40,<=50K
52,Private,10,Married,White,Male,40,<=50K
58,Private,10,Single,White,Female,42,<=50K
25,Private,13,Single,White,Female,40,<=50K
24,Private,13,Single,Black,Male,40,<=50K
19,Private,10,Single,White,Male,8,<=50K
43,Private,10,Married,White,Male,40,<=50K
47,Public,9,Single,Black,Female,40,<=50K
39,Private,9,Single,White,Female,40,<=50K
49,Private,11,Married,White,Male,42,<=50K
32,Private,11,Single,White,Male,45,<=50K
34,Private,10,Married,White,Male,50,>50K
28,Private,9,Single,White,Male,45,<=50K
25,Private,10,Single,Amer-Indian,Female,20,<=50K
34,Private,13,Married,White,Male,50,>50K
38,Self-emp,13,Married,White,Male,80,>50K
50,Private,9,Married,White,Male,50,>50K
24,Public,10,Single,Black,Male,50,<=50K
37,Public,10,Married,White,Male,45,>50K
44,Private,10,Single,White,Male,58,>50K
28,Private,10,Married,White,Female,40,<=50K
42,Private,13,Married,White,Male,40,>50K
74,Private,10,Single,White,Female,9,<=50K
38,Self-emp,9,Married,White,Male,50,<=50K
44,Self-emp,14,Married,White,Male,40,<=50K
44,Private,7,Single,Hispanic,Female,46,<=50K
26,Private,9,Single,White,Male,40,<=50K
36,Private,9,Married,Black,Male,40,<=50K
41,Private,12,Married,White,Female,50,>50K
67,Private,15,Married,White,Male,48,>50K
39,Public,8,Married,White,Male,50,<=50K
57,Private,2,Married,Black,Female,30,<=50K
29,Private,11,Single,White,Male,40,<=50K
31,Self-emp,13,Single,White,Female,45,<=50K
44,Private,10,Married,White,Male,40,<=50K
29,Private,16,Single,White,Male,40,<=50K
30,Private,10,Single,White,Female,40,<=50K
27,Private,9,Single,White,Male,40,<=50K
27,Private,10,Married,White,Male,50,<=50K
32,Private,9,Single,White,Female,45,<=50K
58,Private,6,Married,White,Female,8,<=50K
35,Public,10,Married,White,Male,40,<=50K
21,Private,9,Single,White,Male,36,<=50K
28,Private,10,Single,White,Male,40,<=50K
46,Self-emp,10,Single,White,Male,50,<=50K
36,Self-emp,9,Single,White,Female,40,<=50K
72,Private,7,Married,White,Female,40,<=50K
35,Private,9,Married,Black,Female,40,<=50K
33,Public,11,Single,Black,Female,40,>50K
69,Private,7,Single,White,Female,40,<=50K
35,Private,9,Married,White,Male,40,<=50K
31,Private,9,Single,White,Female,20,<=50K
34,Private,9,Married,White,Female,32,<=50K
30,Private,7,Married,White,Male,40,<=50K
28,Private,13,Single,White,Male,55,<=50K
54,Private,13,Married,White,Male,35,>50K
47,Private,10,Married,White,Male,50,>50K
24,Private,9,Single,Black,Female,40,<=50K
52,Self-emp,13,Married,White,Male,60,>50K
20,Private,9,Single,Amer-Indian,Male,48,<=50K
43,Self-emp,14,Married,White,Male,45,<=50K
45,Private,4,Single,White,Female,40,<=50K
29,Self-emp,9,Single,White,Male,35,<=50K
47,Private,14,Single,White,Male,42,<=50K
24,Private,9,Single,White,Male,40,<=50K
51,Private,9,Married,White,Male,40,<=50K
17,Private,7,Single,White,Male,12,<=50K
37,Private,11,Married,White,Male,40,>50K
27,Private,16,Single,White,Female,70,<=50K
29,Private,13,Married,White,Male,40,>50K
36,Self-emp,12,Single,White,Female,35,<=50K
58,Public,13,Single,White,Female,40,<=50K
26,Self-emp,10,Married,White,Male,45,<=50K
57,Private,9,Married,White,Male,40,>50K
59,Private,9,Married,White,Male,40,<=50K
27,Private,9,Married,White,Male,40,<=50K
31,Self-emp,13,Single,White,Male,40,<=50K
21,Private,10,Single,White,Female,24,<=50K
29,Private,10,Single,White,Male,60,<=50K
18,Private,7,Single,White,Male,40,<=50K
52,Private,6,Married,White,Male,47,>50K
57,Self-emp,13,Single,White,Male,80,<=50K
38,Private,4,Single,White,Male,48,>50K
31,Private,13,Married,White,Male,40,>50K
23,Private,13,Single,White,Female,40,<=50K
27,Private,9,Single,White,Male,40,<=50K
42,Self-emp,15,Married,White,Male,50,>50K
25,Private,10,Single,White,Male,40,<=50K
49,Private,13,Single,White,Female,45,<=50K
32,Private,13,Single,White,Male,40,<=50K
19,Private,10,Single,White,Male,28,<=50K
60,Private,4,Single,White,Female,40,<=50K
42,Public,5,Married,White,Male,40,<=50K
35,Self-emp,12,Single,White,Male,40,<=50K
48,Private,9,Single,Black,Female,37,<=50K
51,Private,14,Married,White,Male,40,>50K
29,Private,9,Single,Amer-Indian,Male,40,<=50K
36,Public,9,Single,Black,Male,40,<=50K
17,Private,6,Single,White,Female,21,<=50K
52,Private,14,Single,White,Female,60,<=50K
24,Private,9,Single,White,Male,40,<=50K
24,Private,9,Married,White,Male,50,<=50K
26,Public,13,Single,White,Male,40,<=50K
27,Private,13,Single,White,Female,20,<=50K
39,Private,9,Single,White,Male,60,<=50K
30,Private,9,Married,Black,Male,45,<=50K
50,Self-emp,9,Married,White,Male,32,<=50K
52,Self-emp,13,Married,White,Male,55,<=50K
46,Private,15,Married,White,Male,45,>50K
23,Private,13,Single,White,Female,20,<=50K
45,Private,7,Married,Black,Female,20,<=50K
65,Private,5,Married,Black,Female,24,<=50K
29,Private,11,Married,White,Male,55,<=50K
47,Private,5,Married,White,Male,40,<=50K
38,Private,9,Single,Black,Male,60,<=50K
34,Private,9,Married,White,Male,45,>50K
38,Self-emp,9,Married,White,Male,64,<=50K
33,Private,10,Married,White,Male,40,>50K
49,Private,13,Married,White,Male,26,>50K
47,Self-emp,10,Single,Black,Female,40,<=50K
49,Public,6,Single,Black,Female,40,<=50K
43,Private,10,Married,White,Male,60,>50K
30,Private,13,Married,Black,Female,40,>50K
58,Self-emp,9,Married,White,Male,60,<=50K
19,Private,9,Single,White,Female,14,<=50K
21,Private,13,Single,White,Male,40,<=50K
33,Private,13,Married,White,Male,60,>50K
47,Self-emp,3,Married,White,Male,50,<=50K
52,Self-emp,16,Married,White,Male,60,>50K
26,Private,9,Single,White,Male,55,<=50K
60,Private,9,Married,White,Male,40,<=50K
21,Private,10,Single,White,Male,40,<=50K
36,Private,10,Married,White,Male,50,>50K
31,Private,10,Married,White,Male,45,<=50K
50,Self-emp,16,Single,White,Male,40,>50K
31,Public,9,Single,White,Female,40,<=50K
71,Private,9,Married,White,Male,15,<=50K
30,Public,13,Married,White,Male,40,>50K
20,Private,10,Single,White,Male,20,<=50K
24,Private,9,Single,White,Male,50,<=50K
35,Private,16,Married,Asian,Male,40,>50K
38,Public,10,Single,White,Female,45,<=50K
27,Private,9,Single,White,Female,32,<=50K
29,Public,10,Single,Asian,Female,40,<=50K
34,Private,9,Married,White,Male,45,<=50K
44,Private,4,Married,White,Male,35,<=50K
43,Private,9,Married,White,Male,40,>50K
44,Self-emp,8,Married,Black,Male,40,>50K
38,Private,14,Single,White,Male,60,<=50K
27,Private,10,Single,White,Male,40,<=50K
43,Public,14,Single,White,Male,38,<=50K
20,Private,10,Single,White,Female,25,<=50K
42,Private,12,Single,White,Female,40,>50K
